-aik,dollar
amiklu'sit,sort_of_good
aminsɨtue'k,somewhat_rational
amipɨsit,slightly_warm
amipɨtek,slightly_warm
amipulatl,rub
amipulk,rub
amipusit,rub_it_on
amiputoq,rub
amisiskuapua'q,slightly_muddy_water
amitke'k,bit_cold
amitkik,bit_cold
amitkit,bit_cold
amjaqa'latl,smeer
amjaqalsit,smeer_something_on_self
amjaqamat,spread_on
amjaqamuatl,spreads_something_for_him
amjaqamu'k,colors_smeared_together
amjaqamuksit,colors_smeared_together
amjaqatl,spread_on
amjaqiknen,plaster
amjaqnawey,plaster
amjaqq,spread_on
amjaqto'sit,dab_self_with_perfume
amjepit,tipsy
amjilakwej,pinfish
amjimoqja't,constipated
amjimoqpit,stuck
amjimoqtek,stuck
amjimoqtesink,caught_and_stuck
amjimoqtesk,caught_and_stuck
amjimoqwa'latl,stuck_inside_of_hole_(pipe)
amjimoqwa'sit,stuck
amjimoqwa'toq,cause_to_be_stuck
Amkuates,pond in castle bay
amkunte'may,gathering up the scraps
amkunusku'kwey,glean
amkwes,first
amkwesewa'j,first_one
amkwesewa'juit,first_person
amkwesewei,first_one
amkwes_elukutimk,Monday
amlamkuk,memramkuk
Amlmamkuk,Memramcook
amlmaw,mackerel
Amo'lienk,Ammorites
ampa'q,lukewarm_liquid
ampetek,lukewarm_(as in milk)
am-pisit,warm
amqwanji'j,spoon
amsala'sɨk,go_wrong
amsala'sit,do_wrong
amsalimatl,insult
amselewistu,complain
amsɨtmat,hear_about_vaguely
amsɨtuatl,overhear
amskwesewa'j,first born son
amsute'kan,doll
amu,bee
amue'su'si,beehive
amuj,yes_(in_contradicting_negative_statement)
amujpa,must
amuksit,appear
anakwe'j,flounder
anapik,lean·to
anapi'kan,lean-to
anapiw,on_either_side
anapo·pemkopit,sit_on_the_edge
anastawto'kwek,unsteady
anastawto'kwet,unsteady
anawtik,cheap_in_price
anawtit,not_paid_much
aniamkwet,punished for wrongdoing
aniamukwet,suffering_for_past_wrongs
aniapsimk,penance
aniapsuinu,penitent
aniapsuinu'skw,nun
aniapsu'latl,punish
aniapsuti,penance
anɨstawe'k,delicate
anɨstawite'lmatl,unsure_of_its_safety
anɨstawite'tk,unsure_of_it's_safety
anɨstawpit,unsafe_position
anɨstawtek,unsafe
anite'tk,troubled
ankamatl,look_at
ankamsit,look_at_self
ankamsutiei,mirror
ankapte'n,examiine
ankaptɨk,look_at
ankatalaw/k,mussels
ankistemui,believe me
ankistmakwet,
ankita'si,think
ankita'suatmik,interesting
ankite'tm,think
ankoqsitan,bunion
anko'tk,take_care_of
anko'tm,keep watch
ankua'latl,give_additional_amount
ankuaqite'm,weld
ankua'taqn,supplement
ankua'toq,adds_additional_amount
ankuna'latl,cover
ankuna'toq,cover
ankuo'mkewei,treaty
ankuo'mkewei,peace treaty
ankuowei,fur
ankweywatl,take_care_of
ankwi'skaqan,joint
anqanei,ancient
anqonikn,covering
anqono'simkewei,bedding
anquno'sun,blanket
ansale'wit,angel
ansaqtek,vacant
ansue'k,unfortunate
ansuite'lmatl,feel_sorry_for
ansuite'tk,regret
ansu'tek,peninsula
antakuej,black_man
antakuejkwej,black_woman
antakuejue'kati,New_Carlisle
an'takue'skw,black_woman
an'tanqanawejit,monkey
an'tanqanawejua'latl,make_monkey_of
antawe's,Russian_(red·headed)
apaja'sɨk,come_back
apaja'sit,come_back
apajiaq,result_of
apajiksua'latl,reconcile
apajiksua'toq,take_back
apajipet,resurrect
apajipey,revive
apajitqwa'majik,reunite
apajukkwalatl,follow_back
apajukkwatk,follow_back
apalqaqamej,chipmunk
apamu,salmon
apankimatl,pay_the_cost
apankitatimk,pay_day
apankitk,pay_for
apankituatl,pays
apankituowei,payment
a'papi,rope
a'papi'j,thread
apaqtu'jk,inshore
apaqtuk,sea
apaqtukewa'j,European
apaqtukewa'j,foreigner
apatkimatl,send_back
apatkitk,send back
apatlɨka't,walk_back
apatoq,save
apatpa'q,returning_tide
apatta'tl,hit_back
apatte'k,win_it_back
apatte'mat,win_back_a_loss
apattesink,spring_back
apattesk,spring_back
apatto'sit,break_even
apatuosaw,tripe
a'petna'sɨk,gusty
a'pi,net
apia'ji'jk,fiddle
apia'ji'jkete'ket,fiddle
apia'ji'jkewatp,fiddlehead
a'pia'q,using_a_net
api-aqua'sit,
a'piet,fish_with_net
apikjilu,skunk
apikjilu-o'mi,skunk oil
apikjilu'ta'tl,skunk_(in_a_game_like_cribbage)
apiknajit,February
apiknapi,snow blind
apiksiktuatl,forgive
a'pimit,have_net
apipunsit,spend_winter
api'sk,especially
apɨskeluo'qwemkewei,nausea
apiskɨk,fetch
apɨsklua'i,nauseated
apiskuatl,fetch
apisqa'mn,lock
apistane'wj,marten
apɨtapekiejit,turkey
apitapuek,waterlogged
apitapuekl,wrinkled
apitapuet,waterlogged
apita'q,rises_(as_dough)
apita't,bloated
apita'taqnei,baking_powder
apja'sit,gone_for_good
apje'ji'jit,tiny
apje'ji'jk,tiny
apje'ji'jk mimlukopske'j,pellet
apje'jit,small
apje'jk,small
apjelmit,unable_to_stop_laughing
apjelmultimkewei,grain_of_rice
apjelmultimkewei,rice
apji-,constantly
apji'jkmuj,duck black
apjiku'niet,bleed_to_death
apjimatl,make_speechless
apjimtɨk,unable_to_stop_crying
apji'timkewei,grace
apjitoq,out_of_breath_(as_a_result_of_a_tantrum)
apjoqji'jit,tiny_in_girth
apjoqji'jk,small_in_girth
apju,usually
apju,always
apjun,handle
apjuna'toq,put_handle_on
apknualatl,pacify
apko'paqjik,ribbon
apkwa'latl,untie
apkwa'sɨk,become_untied
apkwa'sit,become_untied
apkwa'toq,untie
apkwilja'si,grip
apli'kmuj,rabbit
apli'kmujuipsaq,snowflakes are big
apnmiskɨk,retrieve
apnmiskuatl,retrieve
apo'qejit,woodpecker
apoqonmasuti,assistance
apoqonmatimk,assisting_time
apoqonmuatl,help
apoqwaquj,thigh
app,again
app_iktik,another
apsa'latl,reduce_the_size_of
apsalqasit,have_small_hole
apsalqikwa'ji'jit,have_tiny_eyes
apsalqikwat,have_small_eyes
apsalqutnat,have_small_mouth
apsalqutnat,mouth
apsa'toq,make_smaller
apsatpat,have_small_head
apsi'kan,small house
apsikate'j,messenger
apsikjat,have_small_buttocks
apsi-pikti,farts small
apsiptnat,have_small_hands
apsɨsasɨk,cut_into_small_pieces
apsi'satl,reduce_the_size_by_sewing
apsɨsatl,mince
apsi'sɨk,to_make_smaller_by_sewing
apsɨsitat,have_small_feet
apsɨsk,mince
apsisknuet,small_stitch_knitting
apsɨsqate'ket,chop_kindling
apsi'squnat,have_small_nose
apsi'squnay,nose is small
apsɨte'k,chop_small
apsku'lapa'sit,turn_head_around
apskwapekitk,eddy
apskwa'tu,change
apskwekimk,recall
apskwi-wi'tik,translate
apslutaqn,parable
apso'qonikatat,legs are skinny
apta'muin,loss for words
aptapjiet,unable_to_release_a_hold
aptaqatk,stay_permanently
aptaqnet,starve
aptaqney,famine
aptɨpuku'et,unable_to_move_while_standing_from_standing_too_long
aptɨsqa'muatl,lock_out
aptɨsqa'q,lock_up
aptɨsqata'tl,lock_up
aptɨsqate'k,lock_up
aptɨsqa'tl,lock_up
aptisqi'kn,key
aptɨsqi'kn,key
aptɨtesink,stuck
aptɨtesk,stuck
aptɨtesmatl,cause_to_get_stuck
aptɨtestoq,cause_to_get_stuck
aptlama'latl,smother
aptlama'lik,smother
aptlama'toq,smother_(fire)
aptlamik,stuffy
aptlamit,breathing is suffocated
aptlampitek,humid
aptlamsink,lose_breath_(in_gale)
aptluajik,locked_together
aptluat,hold_breath
aptnm,forever
aptoqwet,lean_(by_holding_on_to_something)_to_walk
aptukopisuti,chaplet
aptu'n,cane
apu,juice
-apu,syrup
apua'latl,thaw
apu'a'latl,warm_up_by_applying_heat
apuaqaj,hindquarter
apua'skuatl,warm_up_by_using_body
apua'toq,thaw
apua'toq,warm_up
apuipkitesk,bounds back
apuipkitesk,springs back
apuistekeie'ji'jit,labrador tea
apu'kik,warm_up_by_using_body
apukji'j,mouse
apuksikn,lynx
apuoqsm,defrost
apuoqsm,defrost
apuoquj,ham
apuskapukuey,profanity
aputaluiaq,double curve design
aputaska'latl,turn_upside_down
aputaska'toq,turn_upside_down
aputaskiaq,flip
aputaskiet,fall_back
aputaskikwalatl,turn_over_(using_a_tool)
aputaskikwatk,turn_over_(using_a_tool)
aputaskɨtesink,flip_backwards
aputusaw,honeycomb 0f tripe
