-aik,dollar
kaqapiasit,dried_up
kaqapiatek,dried_up
kaqapija'latl,hang_up
kaqapija'toq,hang_up
kaqapijink,
kaqapijo'tekey,hang clothes on a line
kaqapitk,
kaqaqu,burl
ka'qaquj,crow
kaqaqw,smoke_moosemeat
kaqa'teket,finished_doing_something
kaqa'tu,take it all
kaqawa'sɨk,go_by_quickly
kaqawa'sit,go_by_quickly
ka'qaweju'man,teaberry
ka'qawuli,cormorant
kaqa·nu'kwa'teket,finish_burning
kaqa·nu'kwa'toq,finish_burning_up
kaqiaq,comes_to_an_end
kaqiet,exhausted
kaqi-kisa'toq,complete
kaqi-kjijiatl,know_all_about
kaqi-kjijitoq,know_all_about
kaqi-ksipa'tu,eat it all
kaqi-kwesmat,finished_bearing_or_producing_children
kaqi-kwey,grown up
kaqi-nukapskite'ki'l,shattered
kaqipku'l,honeysuckle
kaqi'siskekipuna'q,so_many_years_old
kaqi'siskekipuna't,so_many_years_old
kaqi'sk,often
kaqjek,brittle
kaqjet,burnt look
kaqkɨk,wear_out_(clothing_article)
kaqkmat,wear_out_clothes
kaqkuatl,wear_out_(clothing_article)
ka'qn,door
ka'qna'tasi,gate
kaqoqsit,burned_through
kaqoqsmay,fuel is gone
kaqoqtek,burned_through
kaqo'tk,exhaust_supply
kaqpesaw,smelt
kaqpesawe'ket,smelt fishing
kaq-pnetaq,died
kaqsatl,burn
kaqsɨk,burn
kaqsit,burn
kaqsusit,
kaqtaqayaq,end_of_trail
kaqtaqayet,the_end_of_(a_rope_or_string)
kaqta'tl,finish_striking_or_beating
kaqtek,burn
kaqteskman,shoe
kaqteskmat,wear_out_footwear
kaqtiansatl,disembowel
kaqtiansik,eviscerate
kaqtukew,thunder
kaqtukow-alukiaq,cloud
kaqtukowik,thunder
kaqtukupnji'j,chimney swift
kaqtukwaluk,cloud
kaqtukwewe'sm,Thunderer_(mythical_spirit)
kasa'latl,wipe_off
kasapaqte'm,erase
kasapuek,wash_away
kasapuet,wash_away
kasaqa'tekey,scour
kasa'taqnei,cloth
ka'satl,wipe
kasa'toq,wipe_off
ka'sɨk,wipe
kasikuteka'tekey,eels remove slime
kasikutika'tekey,eels
kasiskmoqna'tekey,eel slime
kaskawti,roadside
kaskɨptnnaqn,one_ hundred
kaskɨptnnaqnipuna't,one_hundred_years_old
kasku'si,cedar
kaskusia'qamikt,cedar_grove
kaskustow,hearth
kaskwit,gallop
kasteskman,wipe your feet on the carpet
kastio'ma'tu,molasses on his_food)
kastio'mi,molasses
kastɨpl,police_officer
kastitek,dye runs
kastuk,Canada yew
kastulastu,cedar_bough
kaswi'km,erase
kataqam,upper_(rear)_wigwam_section
kataqno'qs,eel
kata'skul,eel grass
kata'skul,seaweed_(sometimes_used_as_cold_remedy_medicine_by_boiling)_(wate r_root_eaten_by_moose)_(NS)
katenoqs,conger eels
katew,eel
katew-apu'l,eel soup
katewaqan,brisket NS
ka'tewe'ket,hunt_eels
kato'mi,eelskin
ka'to'mi,kind_of_berry
katu,but
kawaqtejk,Elderberry
kawaqtkwaqamikt,spruce grove
kawaskeka'latl,turn_over
kawaskeka'toq,turn_it_over
kawaskɨtniaq,change_direction_(of_wind)
kawatku'pi-o'kwo'm,brewery
kawatkw,spruce tree
kawatkw,spruce
kawatkw-u'pi,spruce beer
kawatkw-wtupi'l,spruce roots
kawiei,quill work
kawi'ksaw,thorn
kawi'ksu'musi,thorn_wood_genus
kawio'qopilaqan,quill_box
kawi'o'qulaqn,quill_box
kawi/'k,porcupine quill
kawkwe'kn,rudder
kawkwe'knatkw,helm
ke',please_(equivalent?_dmm02-03-26)
ke' kaka,babytalk baby-needs diaper_change) LOOK SHIT
kejalqikway,eyes are bulging
ke'jiape'j,champion
kejiatl,aware
keji'jiaq,angle
keji'kasik,corner
keji'kasɨk,corner_closet
kejikow,recently
kejimoqpit,sits_obstructing_the_way
kejimoqtek,is_obstructing_the_way
kejimpaqteskl,rain
kejimquik,sore
kejipilatl,secure_by_tying
kejipilk,secure
kejitapaqte'k,drive_in_(as_nail)
kejitekemkewei,science
kejiteket,intelligent
kejitekey,intelligent
kejitma'si,do something earnestly
kejitmeyi,earnest
kejitmite'tasik,siincere
kejitmk,it_is_known
kejitmo'teket,nosey
kejitoq,know_about
kejitpaqtek,darkness
kejitpaqtuk,pitch black
kejkapa'latl,leave_a_scratch_mark
kejkapa'teket,claws
kejkapa'toq,leave_a_scratch_mark
kejkapeta'tl,scratches
kejkwit,hiccup
ke'ka'mko'n,pole
kekapit,nearsighted
kekateskm,tide is stemmed
kekatu'k,dementia
ke'kejoqja'lik,hug
keket,almost
kekiinu'tmuksuti,lore
kekina'juej,carpet or rug
kekina'matimkewei,teaching_material
kekina'muatl,teach
kekina'muet,teach
kekinua'taq,warn
kekjaqpey,drunk
kekka,look at this
kekkunasɨk,held_for_safekeeping
kekkunasit,kept_(for_safekeeping)
kekkunatl,have
kekkunawet,godparent
kekkunk,have
kekna'latl,decorate
keknaluej,skate fish
kekna'sit,dress_up
kekna'toq,decorate
keknesit,dressed_up
kekno'tlatl,dress
kekn'tie'wimk,Sunday
keknua'latl,do_correctly_or_properly
keknua'teket,inform
keknua'toq,do_correctly_or_properly
keknua'tuatl,inform
keknue'k,respectful
keknue'k,important
keknuikkl,shapes are spcific
keknuimatl,advise
keknu'kiljet,read_correctly
keknukwalatl,mark
keknukwatiket,mark_made_to_indicate_a_place
keknukwatk,mark
keknu'lukwet,work_properly
keknu'qamiksit,act_accordingly
keknu'telk,purchase_correctly
keknu'teluatl,purchase_correctly
keknu'tmasit,learns
keknu'tmuatl,teach
ke'koqpit,lie_on_top_and_across
ke'koqtek,lie_atop
kekpewisk,dew
kekukjiet,
ke'kuluskwa'latl,put_arms_around_shoulder
ke'kupa'latl,put_on_top
ke'kupa'sit,get_on_top_of
ke'kupit,sit_on_top
ke'kupn,hilltop
ke'kupukuit,stand_on_the_top
ke'kusoq,cliff
ke'kutek,top
ke'kutesink,land_on_top
ke'kwa'latl,place_on_the_top
ke'kwali'ki'kn,bank
Ke'kwapskuk,at the top of the falls
ke'kwapskutek,rock
kekwa'sɨk,move_slowly
ke'kwa'sɨk,moves_onto_the_top
kekwa'sit,move_slowly
ke'kwa'toq,place_on_the_top
ke'kwatpan,top_of_the_head
ke'kwatpan,crown of head
ke'kwei,up_above
kekwe'k,is_a_slowpoke
ke'kwe'kewei,altitude
kekwi'pit,run_slowly
ke'kwi'pit,run_onto_the_top
ke'kwi-pmtnuk,mountain
ke'kwipskwai,jump on top
ke'kwisink,lie_on_the_top
ke'kwisma'latl,lay_on_the_top
ke'kwisma'toq,lay_on_the_top
ke'l,heart_(playing_cards)
kelalua'lik,"tailfeathers, grab by the"
kelaluenk,tail
kelamkwa'latl,rape
kelapaqatl,screw
kelapaqikn,screw
kelapaqq,screw
kelapaqta'tl,tack_something_on
kelapaqte'ket,tack_something_on
kelapaqteliknei,stapler
ke'laq,hearts in cards
kelatpa'lik,"head, hold by the head"
kelatpete'k,defeat him
keleiwatl,protect
kelekenust,hold onto to your clothes
keliket,protect
kelikna'lik,tail feathers
keli'kpatikn,
kelio'lik,eviscerate
keliska'li,hold my hand
keliskenk,hold on my arm
kelji,freeze
keljismik,freeze
keljistaqno'q,freezer
keljistu,I freeze it
keljit,frozen
keljite'w,milk
kelkɨk,hold_down_with_body_weight
kelkuatl,hold_down_with_body_weight
kelkwiske'k,sprained
kelkwisketesk,sprained
kelkwisketestoq,fracture
keloqi'kn,pillar
kelo'tk,guard
kelpilatl,tie_up
kelpilk,tie_up
keltaqamiktik,frozen earth
keltaqank,hold
keltaqn,
keltaqnatl,hold_by_a_leash
keltaqne'weyap,reins
keltaqpilatl,tie_with_a_rope
keltaqpilk,tie_it_up_with_a_rope
keltaqpisit,tethered
kelta'tl,put_claim
kelte'k,put_claim
kelto'sit,catches himself
kelu,condor
kelulatl,speak_to
kelu'lk,good
keluluet,request_permission_from_parents_to_marry_their_daughter
kelu'si'ji'jit,very_small_and_somewhat_good
kelusimkewei,telephone NS
kelusit,speak
kelu'sit,good
keluskapewit,fib
kelutk,request
kemujeteskmek,approximate
kemutmatl,steal_from
kemutnalatl,kidnap
kemutna'timk,Halloween NS
kemutnatk,steal
kemutnek,steal
kemutnet,steal
ke'newit,profit
keni'skwe'j,french girl
keni'skwikn,Frenchman_(slang)
keni'skwi'kn,peg
keni'skwinemin,bud
kennatl,hold
kennɨk,hold
kenu'kiljete'w,editor
kepaqsɨtek,vulgar
kepa'tanmi,hoarse
kepa'tat,have_hoarse_voice
Kepek,Quebec
kepe'k,blocked
kepiet,become_hoarse
kepiijoqteskawek,obstacle
kepijoqa'tu,close
kepijoqteskm,shut door
kepijoqwa'latl,put_the_lid_on
kepijoqwa'toq,put_the_lid_on
kepi'sit,speak_huskily
kepistaqnat,deaf
kepitnetoqsit,sounds_nasal
kepjoqiket,lock_up
kepjoqi'satl,sew_up
kepjoqi'sɨk,sew_up
kepjoqpit,plugged
kepjoqta'tl,plug_up_by_pounding
kepjoqtek,plugged
kepjoqte'k,plug_up_by_pounding
keplama'lik,stifle
keplutasik,block
kepme'k,holy
kepmite'lmatl,honor
kepmite'tk,honor
kepsaqa'latl,shut
kepsaqa'toq,shut
kepsipsa'latl,skin
kepska'latl,put_to_sleep
kepskiet,drift_off_to_sleep
kepsoqatl,lock_up
kepsoqpit,closed
kepsoqq,lock_in
kepsoqtek,closed
kepta'latl,take_down
keptaqalatl,throw_off
keptaqtoq,throw_off_from_the_top
kepta'sɨk,get_off_atop
kepta'sit,get_down_from_the_top
kepta'toq,take_down_from_the_top
keptɨk,frozen_over_(water)
keptɨkewiku's,November
kepuasqute'm,block up
ke's,while
kesalatl,like
kesa'latl,hurt
kesaltimkewei,act_of_love
kesaluejijit,burdock_bur
kesaluet,love
kesaqek,steep
kesaqesit,moon
kesaqet,steep
kesaqtiat,have_diarrhea
kesasek,shine
kesaset,shine
kesasit,bright
kesata'kwei,sponge
kesatek,bright
kesateket,unfaithful in marriage
kesateket,adultery
kesatenmat,affected_by_bright_light
kesatk,like
kesatkusi,sleep
keselmit,laughs
kesi-,very
kesi a'jel,
kesiankamatl,stare
kesiankaptɨk,stare
kesien,keen on someone
kesik,winter
ke'sɨk,just_a_minute!
kesikaq,slides_fast
kesikat,slides_fast
kesikawa'sɨk,goes_at_high_speed
kesikawa'sit,goes_at_high_speed
kesikawatpi'pit,run_fast_with_head_bobbing
kesikawelmi,laugh
kesikawewo'kwet,speak_loudly
kesikawi-,loudly
kesikawiaqawei,automobile
kesikawi'kwe'k,swims fast
kesikawi'pit,moving_fast
kesikawitk,flow_swiftly
kesikawitnet,snort
kesikawlamit,breathe_hard_and_fast
kesikawoqsink,snore_loudly
kesikaw-pikti,farts loud
kesikawta'q,make_loud_noise
kesikawtewesikek,make_loud_report_(as_cannon_or_gun)
kesikawtewesiket,make_loud_report(as_cannon_or_gun)
kesikawtoqsit,make_loud_sound_with_voice
kesikawulusit,make_loud_crack
kesikawwek,loud
kesikawwet,talk_loud
kesikewei,associated_with_winter
Kesikewiku's,December
kesi-ksnukwat,very_sick
kesi-ktuanteket,bloodthirsty
kesimaqapskek,very_large_and_round
kesimaqapskɨsit,very_large_and_round
kesima't,have_strong_odor
kesimlkiknat,very_strong
kesimtɨk,cry_hard
kesipa'latl,relieve_an_itch_by_scratching
kesipalqiemkewe'l,rose hips
kesipatl,painful bite
kesipa'toq,scratch
kesipa'tuaj,
kesipa'tuatl,
kesipiaq,itchy
kesipiemkewei,ezcema
kesipiet,itchy
kesipkuek,scratchy
kesipkuet,scratchy
kesipoqwat,scrape
kesipta'tl,scratch_hard
kesipte'k,quick_scratch
kesipte'k,scratch_hard
kesipto'sit,scratch_self_(like_an_animal)
kesipualatl,want_very_much
kesipuatk,wants_very_much
kesi-samuqwana'tu,drench
kesispa'latl,wash
kesispalsit,wash_self
kesispapalatl,sponge_bath
kesispapalsit,wash_slightly_and_hastily
kesispapatoq,wash_slightly_and_hastily
kesispa'tekemkewei,object_pertaining_to_washing
kesispa'teket,wash_(floors)
kesispa'toq,wash
kesispa'tu,wash
kesistaqnawet,wash_clothes
kesistaqno'q,washer
kesisuikna't,very_weak(from_being_ill)
kesita'tl,hit_hard
kesite'lmatl,think_highly_of
kesitesink,get_hurt_badly_(from_a_fall_or_an_accident)
kesite'tk,think_highly
kesite'wet,very_attractive
kesitewipnet,groan
kesitowaqji'jit,very_short
kesi'wesmat,have_nice_shaped_antlers_or_horns
ke'sk,before
keska'latl,make_disappear
keskamu'k,blurred
keskamuksit,blurred
keskamukwa'latl,make_vanish
keskamukwa'sɨk,dissolving
keskamukwa'sit,disappearing
keskamukwa'toq,make_vanish
keskamukwiaq,fade_away
keskamukwiet,fade_away
Keskapekiaq,Where the river widens
keska'sɨk,disappear
keska'sit,disappear
keska't,lost
keskata'sit,forgetful
keskatesink,disappear_in_flash
keskatesk,disappear_in_flash
keska'toq,make_disappear
keska'tu,lose it
keske'k,wide
keskelmatl,hold_dearly
keskeltɨk,hold_dearly
keskeltmay,stingy
keskiaqasit,has_a_broad_back
keskija'latl,place_over
keskijaqsink,fly_over
keskija'sit,go_over
keskija'toq,place_over
keskimtlmaqnat,shoulders are wide
keskissɨk,pass_over_in_the_air
keskissink,pass_over_in_the_air
keskitlmaqasit,broad·beamed
keskitlmaqnat,have_broad_shoulders
keskma'latl,take_by_shortcut
keskmaplkikwa'latl,make_someone_see_things_that_are_not_there
keskmaplkikwa'si,vision
keskmaplkikwa't,see_things_that_are_not_there
keskmaplkikwa'teket,do_magic_tricks
keskmaplkikwa'toq,make_someone_see_things_that_are_not_there
keskma'qa'latl,
keskma'qiet,
keskma'qiet,
keskma'sit,shortcut
keskma'toq,take_or_bring_by_shortest_route
keskmna'q,before
keskmsit,lucky
keskmtek,shortcut
keskoqomaqasit,broad_beamed
keskukk,heavy
keskulaq,shower
keskulk,heavy
keskulqek,wide_and_deep_(canoe_chair)
keskunasit,carry(by_hand)_heavy_load
keskustɨk,overhear
keskustuatl,overhear
keskuta'tl,catch_red-handed
keskute'k,catch_or_get_on_time
keskuteskɨk,just_in_time
keskuteskmat,on_time_(for)
keskuteskuatl,caught_in_the_act
keskwaq,echo
keslek,stink
keslet,stink
keslitek,ripe
kesma'latl,push
kesmapewit,strange_looks
kesmaqalatl,shove
kesmaqtoq,shove
ke'smat,fancy dresser
kesma'toq,push
kesmeket,shove
kesmikit,shapely
kesmi'sit,speak_in_odd_or_unusual_way
kesmjieketl,
kesmoqja'latl,push
kesmoqja'toq,push
kesmoqjeket,give_a_quick_push
kesm'pisit,strangely_dressed
kesmteskaq,push him with my body
kesmteskɨk,move_by_bumping
kesmteskuatl,move_by_bumping
kesmulami,exhale
kesnoqapewit,liar
kesnoqowe'k,phoney
kesnukapewit,looks_sick
kesnukuik,hurt
kesnukuit,hurt
kesnukwat,sick
kesnukwetoqsit,sound_sickly
kesnukwiankamkusit,appear_sickly
kesoqet,has_a_strong_odor
kesoqsit,feel_the_burn_badly
kespaqami'k,end_of_the_world
Kespe'k,Seventh district
Kespe'kewa'j,Gaspesian
kespɨk,dull
kespi-pkisink,last
kespisaqtemit,cry yourself into the netherworld..
kespi-sawe'k,end of life
Kespɨtek,Saturday
kespɨtoq,make_dull
kespi·kiskɨk,last_day
kesplatl,make_dull
Kespokwitk,First district
kespukua'latl,lie
Kespukwitk,Annapolis_Valley
kespukwitnewa'j,(Annapolis)_valley_person
kespu'tuatl,defeat_(in_game)
kespu'tuet,wins
kestalima'q,smells strange
kestitenuk (mu),unripe
kestuna'lit,strangles me...
kestunapilaqnei,scaffold
kestunenut,strangled
kestunepilaqnei,gallows
kestunepilk,strangle him with a rope
kestunesik,neck
kestunete'k,neck
kesu'temit,crying for a long time
ke's_mu,before
ketalqa'latl,take_out_of
ketalqa'toq,take_out_of
ketalqikwalatl,take_out_by_scraping
ketalqikwatk,dig_out
ketalqoqpik,remove a potato from its skin
ke'tamskw,extra_large_(bank)_beaver
ketanatl,hunt
ketanqi-kalatl,stalk
ketantekemkewei,stalk
ketanteket,hunter
ketantoq,hunt
ketanuet,spiteful
ketapa'q,sink_into_water
ketapa'sit,go_underwater
ketapa't,sink
ketapekiet,sing
ketapekiet,warble
ketapet,ox
ketapja'latl,take_with_bare_hands
ketapja'sit,take_with_bare_hands
ketapja'toq,take_with_bare_hands
ketapsknatl,hold_with_bare_hands
ketapsknk,take_hold_with_bare_hands
ketapsknm,hand
ketaqama'sit,eat_(archaic)
ketaqa'sit,hatch
ketemetesultijik,all_killed
ke'tiap,"full·grown_bull_(moose,_etc.)"
ke'tipnekek,digging place
ke'tipnet,"harvest_crops(of_roots,_tubers,_potatoes,_carrots,_turnips)"
ke'tipnewinu,harvester
ketkaqamiksit,ill·mannered
ketkatalk,eat_ill·manneredly
ketke'k,act_indecent
ketkiet,drunk
ketkite'tasik,disgusting
ketkuje'itesink,fall_face_first
ketkukjesteskmn,capsize
ketkukjetesink,fall_prone_faced_down
ketkukjetesk,falls_prone_face_down
ketkukjiaq,
ketkunit,spend_the_night
ketkwi'k,run
ketlamit,pant
ketlamite'lmatl,believes in him
ketlamite'lmul,loyal to you
ketlamsitasi,believe
ketlamsɨtk,believe
ketlamsɨtuatl,believe someone
ketletuk,certainly
ketlewe'k,TRUE
ketloqo,for_certain!
ketmaqsenutki'k,obliterated
ketmaqsepajik,eat them all
ketma'tl,clean_out_(of_food)
ketmenejik,extinct
ketmenet,deceased
ketmenet,dead
ketmenetki'k,died
ketmeta'jik,kill them all
ketmeta'tl,wipe_out
ketmete'kik,kill all of them
ketmete'kl,win_all
ketmete'mat,wiped_out
ketmoqsijik,all_burned
ketmoqtekl,all_burned
keto'qmajo'tekey,inquisitive
Kettuna'tuatek,took it from his/her mouth
ketuank,kill
ketuapematl,need_for_assistance
ketuapetk,seek_help_from
ketuapsi,defend
ketuapsit,fend_for_oneself
ketuatqitesin,dodge into the bushes
ketui-mpm,dying
ketui-skit,urinate
ketuk,crows
ketu'k,to_crow
ketuksiet,drowsy
ketuksit,sleepy
ketuktnumqwanet,want_an_alcoholic_drink
ketu'l'miet,want_to_go_home
ketu'muatl,make_music_for
ketu'muen,music
ketu'muet,make_music
ketu'pkisink,expected_to_arrive
ketutamit,craves
ketu'_wunjanit,pregnant
kewanska'sik,change
kewanska'toq,changes it
kewanski'si,translate
kewaqsɨk,it_is_fell_by_the_wind
kewaqsink,It_is_blown_down_by_the_wind
kewa'salatl,topple
kewa'satk,topple
kewe'satk,topple
kewiaq,fall_down_from_upright_position
kewiet,falls_over_from_upright_position
kewisink,hungry
kewjia'qiet,feel_chilly
kewjik,cold
kewjipnewjit,feel_hands_cold
kewjit,feel_cold
kewkɨk,force_it(that_is_upright)_down_with_one's_weight
kewkuatl,force_...(that_is_upright)_down_with_one's_weight
kewsatl,topple_by_cutting
kewsɨk,toppled_by_the_wind
kewtaqsikit,feel_cold_feet
kewta'tl,knock_down
kewte'k,knock_down
kewusey,moose
ke'_jel,come_on_then
kiaskew,
kiaspa'si,far
kiaspiaq,result
kiaspiet,make_habit_of
kiaspiw,since
kiawaska'sɨk,turns_around
kijapo'ti,pouch
ki'jat,nit that is full
ki'jipet,nit is full
ki'jipey,stuffed
kijitmu'loqsitk,sage
kijka'jijk,little_bit
kijka'tata'n,right_on!_(interjection)
kiju',mother
ki'k,sharp
ki'kaja'latl,force
ki'kaja'sit,obstinate
ki'kajeiwatl,aggravate
ki'kaji-,forcefully
ki'kajie'watl,use_in_spite_of
ki'kajimatl,goad
ki'kajinmikimatl,send_home_against_their_will
ki'kajo'tk,use_in_spite_of_condition
ki'kaju,still
ki'kalsin,
ki'kamko'n,pole_(for_poling_boat)
ki'kassit,stubborn
ki'kassmatl,forcefeed
ki'kassuinu,teaser
ki'katakanutk,exaggerate
ki'kataknimatl,exaggerate_about
ki'kataknutuatl,exaggerate_something_about
ki'ke'k,in_corner
kikiaskiey,low on cash
kikjakumatl,closely_related_to
kikjapit,near·sighted
kikji-,near
kikjɨpa'sualatl,
kikjiw,near by
kikjiweloqpit,lie_near
kikjuk,near by
ki'kliekwe'mi,crows
ki'klikjenatl,tickle
ki'kliksik,ticklish
ki'kliksit,ticklish
ki'kliksita'i,goose bumps
ki'kli'kwej,chicken
ki'kli'li'kweji'j,baby_chickens
ki'klimsi,goose bumps
kikpesa'ji'jk,shower
kikpesan,rain
kikpesanamu'k,misty
kikpesanamukwiaq,rain_clouds_approaching
kikpesanapu,rainwater
kikpesanatp,rain hat
kikpesanuiaq,turn_to_rain
kikpesaq,rain
kikpesaqsip,RAIN
kikto'qasasik,Circumcise
kikto'qopukua'sit,turn_around_while_standing
kiktu'nuk,mountain
ki'kwesu,muskrat
ki'kwesuaskw,"muskrat_root_(cold_remedy,_mix_with_liquid_or_chewed)"
ki'l,you_(singular)
kilew,you_(plural)
ki'lewei,your(singular)
kilewewei,your(plural)
kilikwejit,ant
kilni'k,tail feathers
kimamatl,peek_at
kimapit,peek
kimaptɨk,peek_at
kime'k,
kimelmi,laugh quietly
kimelmit,laugh_to_oneself
kimelmuktasit,laugh_at_oneself_in a secret manner
kimewistoq,whisper
kimewo'kwet,talk_in_a_low_voice
kimiet,sneak_around
kim-pikti,farts silently
kimteluatl,shoot_by_ambush
kimtemit,cry_secretly
kim-teskat,sneak up on him
kimteskawet,walk_quietly
kimteskɨk,sneak_up_on
kimteskuatl,sneak_up_on
kimu'tuk,somewhat
kina'masuti,education
kina'matimk,time_of_acquiring_learning
kina'matnewei,education
kinap,hero
kinapewei,fame
kinapewit,famous
kinateja'sit,strut_on
kinawskipukua'sit,turn_around_(while_in_standing)
kinawskituniaq,change_direction_(of_wind)
kine'k,while
kinikwejij,thistle_prickle
ki'nɨn,shoulder
kinipewa'j,branch_(holds_tea_kettle_over_fire)
kini'sko'qm,top of tree
kini'skwaqitk,peaked  hill
kini'skwastu,evergreen_needle
kini'skwatkiej,grosbeak
kini'skwe'j,basket for toothbrushes
kini'skwe'j,peaked hat
kini'skwe'j,peaked hat
kini'skwe'j,peaked hat
kiniskwe'k,pointed
kiniskwik,pointed_shape
kiniskwikik,pointed_shape
kini'squnej,swordfish
kini'swakum,point_of_tree
kini'swikuom,point_of_wigwam
kinite'lsit,bully
kinsa'q,cliff
kinsi,brag
kinsit,brag
kinu,we
kinualatl,brag_about
kinuatk,brag_about
kinuewei,ours_(inclusive)
ki'nujink,proud
kinu'kwatiknl,alphabet
ki'oqe'm,woodpecker
kɨpɨta'q,up
kɨpɨtay,ceiling
kɨpnno'l,government
kɨpnno'lewa'j,member_of_government
kipoqamatl,glance_at
kipoqamk,catch a glimpse
kipoqaptɨk,glance_at
kipoqaptmn,glimpse
kipoqtelk,graze_(by_shooting)
kipoqteluatl,graze_(by_shooting)
ki's,completed_action
ki's,after
kisa'latl,prompted
kisa'matioq,get along
kisapsknatl,able_to_reach
kisapsknk,catch_reach
kisa'tasɨk,fixed
kisa'tasit,fixed
ki'satl,finished_cooking
kisa'toq,fix
kisawo'q,metal
kisawo'q-api,wire
kise'k,have_fun
kisi-a'qno'tasit,adopted child
kisiatl,creates
ki'sɨk,finished_cooking
kisiki'it,brought me up
kisiku,old_man
kisiku'aq,get_old
kisikuei,old_[shirt]
kisiku'et,become_old
kisikui'skw,old_woman
kisiku'leka't,walk_like_an_old_person
kisiku'lkw,old_canoe_or_boat
kisikuo'p,old_man
kisiku'qamiksit,act_like_an_old_person
kisiku'skw,old_female_animal
kisiku'skwe'j,spinster
kisiku'sm,old_animal
kisikwek,full_grown
kisikwekewiku's,August
kisikwenatl,grow
kisikwenikn,adopted_child
kisikwenk,full-grown
kisikwet,full_grown
kisimanik,ripe
kisintoq,sang
kisipiasit,finished_drying
kisipiatek,finished_drying
kisi'satl,sew
kisi'sɨk,sew
ki'sit,cooked
kɨsɨtalk,finished_eating
kisitaqn,creation
kisite'lmatl,invent
kisite'tk,invent
kisitoq,finish_making
kisi-tpisiktm,avoided
kiskaja'latl,get_ready
kiskaja'tasɨk,prepared
kiskaja'toq,get_ready
kiskaje'k,prepared
kiskajiet,have_patience
kiskajoqosk,lies_ready
kiskatɨpukuit,stand_ready
kiskatpit,sits_ready
kiskatta'tl,fix_up
kiskattek,ready
kiskuk,today
kiskusi,awake
kislassit,turn_ripe
kislastek,turn_ripe
kisoqe'k,atop_hill
kiso'qon,fun time
kisoqsit,ready_cooked
kisoqtek,ready_cooked
kispa'q,floodtide
kispasasɨk,cured
kispasasit,cured
kispasatl,dry
kispasawemkewei,dryer
kispasit,dry
kispask,dry
kispatek,dry
kispnapewit,have_a_tired_look
kispnek,tired
kispnet,tired
kispnetoqsit,tired_sounding_voice
kispney,tired
kispniet,become_tired
kispnulatl,make_tired
kista'tl,beat-up
kiste'k,finish_playing(instrument)
kisteluatl,impregnate
kistetek,ripe
kisu'atpaq,warm hat
kisu'kun,warm coat
Kisu'lk,Creator
kisupa'q,lukewarm_(of_liquid)
kisupa'qji'jk,lukewarm (of_liquid)
kisu'piso'tlatl,dress_up_warmly
kisu'snik_n'nu'k,Indians_are_created!_(expression_of_surprise)
kisu'ukt,warmly_dressed
ki's_sa'q,long_ago
kitaqasit,muscle_ache
kitaqek,muscle_ache
kitaqet,sore_(of_body_part)
ki'taqn,grindstone
ki'taqnmusi,Staghorn sumac
ki'tek,cooked
kitk,both
kitmaqan,count_stick_(in_waltes_game)
kitnmat,have_difficulty
kitnmeiwatl,give_a_hard_time_to
kitnmo'tk,give a hard time
kitpu,eagle
kitpue'kati,eagle haunt
kitpue'key,eagle hunting
kiwaje'k,dull
kiwajeywatl,long_for
ki'wajiaq,honest
kiwajita'si,
kiwajo'tk,long_for
kiwalsit,spooked
kiwask,heat_lightning
kiwaska'latl,turn_to_opposite_direction
kiwaska'sit,turns_around
kiwaska'toq,turn_it_around
kiwaskeket,flip
kiwaskɨpa'q,reversing_tide
kiwaskɨpa'sit,turn_around_while_seated
kiwaskisma'sit,turn_self_over_while_in_lying_down
kiwaskɨsmtesink,turn_over_quickly_while_prone
kiwaskui'tɨk,say_in_reverse
kiwatteskuatl,sadden_by_his/her_departure
kiwikatk,stock_with_provisions
kiwiksit,provision
kiwio'qiaq,wheel
kiwkto'qipekesik,eddy
kiwkw,earthquake
kiwnaqa,especially
kiwnaqaj,especially
kiwnik,otter
kiwto'qa'latl,circling_with
kiwto'qa'lukwet,dance around
kiwto'qa'sɨk,circle_around
kiwto'qa'sit,circles
kiwto'qaska'latl,turn_around_to_point_in_opposite_direction
kiwto'qaska'toq,turn_around_to_point_in_opposite_direction
kiwto'qateskatultijik,chase_around_in_a_circle
kiwto'qa'toq,circling_with
kiwto'qiaq,spin
kiwto'qiaq,wheel
kiwto'qiet,spin
kiwto'qiksma'latl,push_around_in_a_circle
kiwto'qiksma'toq,push_around_in_a_circle
kiwto'qopeka'latl,swing_around
kiwto'qopeka'toq,swing_around
kiwto'qopia'tijik,sit_in_a_circle
kiwto'qopilatl,wrap_around
kiwto'qopilk,wrap_around
kiwto'qopultijik,sit_around_in_a_circle
kiwto'qoto'sit,spins_self
kiwto'qukwaltultijik,follow_one_another_in_a_circle
kiwto'qwa'sit,circle
kji-alasutmo'kuo'm,church
kjiansale'wit,archangel
kjiaplue'w,rascal
kjiaplue'w,rat (Nova Scotia)
kjikan,city
Kji'kan,abandoned_camp
kjikanji'j,village
kjikapa'n,tide
kji-ka'qawej,raven
kjika'w,bass
kjika'wjikn,sea urchin
kji'km,ocean
kjikmualuk,iceberg
kjikmuatkw,spruce
kji'kmu'ke'l wettik,sea
kjikmuo'mk,sea
kjiknam,brother
kjikoqsuk,touchwood fungus
kjikwej,teal
kji-mn'tu,Satan
kji-mskiku,poison_ivy
Kji-Niskam,god
kji-niskam,Great_Spirit
